title,artist,artistExistsInDb,description,coverUrl,images,availability,purchaseLink
A Matter Of Chance – Silkscreen,Carly Steinbrunn,true,Design Grégoire Pujade-Lauraine I Printing Tchikebe 60 x 80 cm I Silkscreen I 30 copies Signed edition,https://www.poursuite-editions.org/wp-content/uploads/2026/01/serigraphie_fond_ombres_vergetales_2_web_square.jpg,,available,https://www.poursuite-editions.org/products/10093/?lang=en
A Matter of Chance,Carly Steinbrunn,true,"Design Grégoire Pujade-Lauraine 56 pages, 23,5 x 30,7 cm Softcover November 2025 ISBN : 978-2-490140-56-5",https://www.poursuite-editions.org/wp-content/uploads/2025/10/AMOC-new-cover.jpg,https://www.poursuite-editions.org/wp-content/uploads/2025/10/AMOC-02-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/10/AMOC-05-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/10/AMOC-04-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/10/AMOC-03-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/10/AMOC-01-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/10/AMOC-06-scaled.jpg,available,https://www.poursuite-editions.org/products/arn-vol-7-copie/?lang=en
kirsten & Yasse,Eric Tabuchi,true,"128 pages, 21 x 30 cm Softcover, swiss binding + poster October 2025 ISBN: 978-2-490140-66-4 Press Le Monde",https://www.poursuite-editions.org/wp-content/uploads/2025/10/Kirsten-Yasse-couv-carre.jpg,https://www.poursuite-editions.org/wp-content/uploads/2025/10/01_MockUp-KY-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/10/02_MockUp-KY-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/10/04_MockUp-KY-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/10/KY_poster.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/10/05_MockUp-KY-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/10/06_MockUp-KY-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/10/07_MockUp-KY-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/10/08_MockUp-KY-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/10/09_MockUp-KY-scaled.jpg,available,https://www.poursuite-editions.org/products/kirsten-and-yasse/?lang=en
ARN Vol.7,Eric Tabuchi & Nelly Monnier,false,"384 pages, 17 x 32 cm I book + map Silkcreen on softcover, co-publishing Poursuite I GwinZegal October 2024 I ISBN 978-2-490140-65-7",https://www.poursuite-editions.org/wp-content/uploads/2025/09/ARN_Mockup_cover-scaled.jpg,https://www.poursuite-editions.org/wp-content/uploads/2025/09/MockUp-Vol.7_08-2.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/09/MockUp-Vol.7_02-2.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/09/MockUp-Vol7_013-2.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/09/MockUp-Vol7_06-2.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/09/MockUp-Vol.7_09-2.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/09/MockUp-Vol7_014-2.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/09/MockUp-Vol.7_03-2.jpg,available,https://www.poursuite-editions.org/products/arn-vol-7/?lang=en
Blitz Club Blitz Kids,Homer Sykes,false,"32 pages, format 20 x 26 cm softcover, stapled September 2025 I ISBN : 978-2-490140-64-0 Second edition Press M – Le Monde Libération",https://www.poursuite-editions.org/wp-content/uploads/2025/09/Blitz_club_cover-scaled.jpg,https://www.poursuite-editions.org/wp-content/uploads/2025/09/blitz-club_01-3.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/09/blitz-club_02-3.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/09/blitz-club_03-1.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/09/blitz-club_04-3.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/09/blitz-club_05-1.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/09/blitz-club_06-1.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/09/blitz-club_07-3.jpg,available,https://www.poursuite-editions.org/products/blitz-club-blitz-kids-2025/?lang=en
Something Vibrantly Alive,Jean-Christophe Arcos,false,"Andrés Barón, Louidgi Beltrame, Claude Cattelain, Coraline de Chiara, Marion Dubier-Clark, Anne-Valérie Gasc, Isabelle Giovacchini, Noémie Goudal, Alice Guittard, Laurent Lacotte, Guillaume Linard-Osorio, Souad Mani, Wilfried Nail, Frédéric Nakache, Riccardo Olerhead, Angyvir Padilla, Hélène Paris, Régis Perray, Simon Pfeffel, Gilles Pourtier, Olivier Sévère, Sammy Stein, Éric Stephany, Vincent Voillat, Virginie Yassef, Léonie Young With the support of the Centre national des arts plastiques French / English Design Grégoire Pujade-Lauraine 180 pages, 18 x 24 cm Soft cover, silkscreen July 2025 | ISBN 978-2-490140-42-8",https://www.poursuite-editions.org/wp-content/uploads/2025/07/SVA_cover-1.jpg,https://www.poursuite-editions.org/wp-content/uploads/2025/07/Rock_1.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/07/Rock_2.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/07/Rock_5.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/07/Rock_6.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/07/Rock_4.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/07/Rock_8.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/07/Rock_9.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/07/Rock_10.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/07/Rock_12.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/07/Rock_13.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/07/Rock_14.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/07/Rock_15.jpg,available,https://www.poursuite-editions.org/products/something-vibrantly-alive/?lang=en
ALLER – RETOUR,Eric Tabuchi & Nelly Monnier,false,"French 128 pages, 14,5 x 21 cm Softcover, silkscreen printing Second printing October 2025 I ISBN 978-2-490140-62-6",https://www.poursuite-editions.org/wp-content/uploads/2025/05/AR_cover_website_ok-1.jpg,https://www.poursuite-editions.org/wp-content/uploads/2025/05/AR_website_1_ok-et-1-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/05/AR_website_2_ok-et-1-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/05/AR_website_3ok-et-1-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/05/AR_website_4ok-et-1-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/05/AR_website_5ok-et-1-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/05/AR_cover_double.jpg,available,https://www.poursuite-editions.org/products/aller-retour/?lang=en
STAINS & ASHES,Ola Rindal,false,"Design Spassky Fischer 160 pages, 24 x 32 cm 75 photographs, soft cover, Japanese binding April 2025 I ISBN 978-2-490140-58-9 Presse collectordaily.com",https://www.poursuite-editions.org/wp-content/uploads/2025/04/stains_ashes_cover_website_ok-1.jpg,https://www.poursuite-editions.org/wp-content/uploads/2025/04/stains_ashes_mu_1_2_ok-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/04/stains_ashes_mu_3_2_ok-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/04/stains_ashes_mu_4_2_ok-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/04/stains_ashes_mu_5_2_ok-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2025/04/stains_ashes_mu_6_2_ok-scaled.jpg,available,https://www.poursuite-editions.org/products/stains-ashes/?lang=en
ARN Vol.6,Eric Tabuchi & Nelly Monnier,false,"384 pages, 17 x 32 cm I book + map Silkcreen on softcover, co-publishing Poursuite I GwinZegal October 2024 I ISBN 978-2-490140-55-8",https://www.poursuite-editions.org/wp-content/uploads/2024/10/ARN6_cover.jpg,https://www.poursuite-editions.org/wp-content/uploads/2024/10/ARN_VOL.6_1-1.jpg|https://www.poursuite-editions.org/wp-content/uploads/2024/10/ARN_VOL.6_3-1.jpg|https://www.poursuite-editions.org/wp-content/uploads/2024/10/ARN_VOL.6_4-1.jpg|https://www.poursuite-editions.org/wp-content/uploads/2024/10/ARN_VOL.6_5-1.jpg|https://www.poursuite-editions.org/wp-content/uploads/2024/10/ARN_VOL.6_6-1.jpg|https://www.poursuite-editions.org/wp-content/uploads/2024/10/ARN_VOL.6_7-1.jpg|https://www.poursuite-editions.org/wp-content/uploads/2024/10/ARN_VOL.6_2-1.jpg|https://www.poursuite-editions.org/wp-content/uploads/2024/10/ARN_VOL.6_8-1.jpg|https://www.poursuite-editions.org/wp-content/uploads/2024/10/ARN_VOL.6_9-1.jpg,available,https://www.poursuite-editions.org/products/arn-volume-5/?lang=en
Los Angeles Standards,Caroline & Cyril Desroche,false,"Postface Frank Gehry I Design Grégoire Pujade-Lauraine 632 pages, 17 x 23 cm I Silk screen on softcover Fourth edition, September 2024 I ISBN 978-2-490140-32-9 Arles PhotoBook Awards 2021 (shortlisted) Arles PhotoBook Awards 2021 (shortlisted) Photobooks of 2020 – Photoeye (shortlisted) Photobooks of 2020 – Photobookstore (shortlisted) Press Photobookjournal Ssense The Photobook Review 018 – Aperture DA L’Obs Blind magazine Marie Claire Tema Archi",https://www.poursuite-editions.org/wp-content/uploads/2021/03/la-standard-couv.jpg,https://www.poursuite-editions.org/wp-content/uploads/2021/03/32-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2021/03/102-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2021/03/218-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2021/03/242-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2021/03/256-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2021/03/314-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2021/03/322-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2021/03/446-scaled.jpg|https://www.poursuite-editions.org/wp-content/uploads/2021/03/450-scaled.jpg,available,https://www.poursuite-editions.org/products/los-angeles-standards/?lang=en