id,cover_url,original_kb,compressed_kb,shrink_ratio,storage_path
8ec1956e-506a-4e76-a406-8bea2450e0b2,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/8ec1956e-506a-4e76-a406-8bea2450e0b2/1771666922566-3t5yh.jpg,314.0,15.9,19.72,books/covers/8ec1956e-506a-4e76-a406-8bea2450e0b2/1771666922566-3t5yh.jpg
03bbbb5d-f42a-4f53-9f73-61937ce6824e,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/03bbbb5d-f42a-4f53-9f73-61937ce6824e/1771873086686-85938l.png,754.0,35.3,21.39,books/covers/03bbbb5d-f42a-4f53-9f73-61937ce6824e/1771873086686-85938l.png
e01e83e7-6ce8-442f-b930-c4781c0f390c,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/e01e83e7-6ce8-442f-b930-c4781c0f390c/1771936344648-se7i43.jpg,423.3,12.0,35.21,books/covers/e01e83e7-6ce8-442f-b930-c4781c0f390c/1771936344648-se7i43.jpg
f4abd9bc-570f-48ce-8bb8-f40488e17ce6,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/f4abd9bc-570f-48ce-8bb8-f40488e17ce6/1771861568854-0y5rh.png,1919.5,27.3,70.24,books/covers/f4abd9bc-570f-48ce-8bb8-f40488e17ce6/1771861568854-0y5rh.png
0e0f5914-1b2c-452a-9efe-8b7948e86b87,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/0e0f5914-1b2c-452a-9efe-8b7948e86b87/1771852254254-9jlkbp.jpg,782.2,31.0,25.27,books/covers/0e0f5914-1b2c-452a-9efe-8b7948e86b87/1771852254254-9jlkbp.jpg
2e52d022-573f-451b-8b56-c13dc7552010,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/2e52d022-573f-451b-8b56-c13dc7552010/1771852303473-tr96rk.jpg,2683.7,37.2,72.17,books/covers/2e52d022-573f-451b-8b56-c13dc7552010/1771852303473-tr96rk.jpg
dcb51930-fdad-49b6-900a-a49f170170e4,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/dcb51930-fdad-49b6-900a-a49f170170e4/1771851887493-2sfxw.jpg,175.8,13.0,13.53,books/covers/dcb51930-fdad-49b6-900a-a49f170170e4/1771851887493-2sfxw.jpg
574a2d44-1ae9-418e-b4ec-bccb21f5346e,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/574a2d44-1ae9-418e-b4ec-bccb21f5346e/1771851927968-lzwtcb.jpg,171.9,14.3,12.02,books/covers/574a2d44-1ae9-418e-b4ec-bccb21f5346e/1771851927968-lzwtcb.jpg
e12db41d-7c5b-46dd-bca1-42f4c60c2834,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/e12db41d-7c5b-46dd-bca1-42f4c60c2834/1773649507063-ofv3cv.jpg,972.7,34.5,28.17,books/covers/e12db41d-7c5b-46dd-bca1-42f4c60c2834/1773649507063-ofv3cv.jpg
a8b00124-928c-4284-9b56-d28eb0dd1fd0,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/a8b00124-928c-4284-9b56-d28eb0dd1fd0/1773649605749-woar2j.jpg,3738.4,18.7,199.99,books/covers/a8b00124-928c-4284-9b56-d28eb0dd1fd0/1773649605749-woar2j.jpg
709daa8c-509a-4987-acdb-9ca57a9cd4f2,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/709daa8c-509a-4987-acdb-9ca57a9cd4f2/1773650687355-byufc.jpg,964.4,40.0,24.08,books/covers/709daa8c-509a-4987-acdb-9ca57a9cd4f2/1773650687355-byufc.jpg
8685a571-83a0-471f-a291-870363b0c32d,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/8685a571-83a0-471f-a291-870363b0c32d/1772730135861-ddl9gl.jpg,509.3,27.3,18.64,books/covers/8685a571-83a0-471f-a291-870363b0c32d/1772730135861-ddl9gl.jpg
4d3408b7-36b1-4c04-995d-2718de235964,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/4d3408b7-36b1-4c04-995d-2718de235964/1771870821246-qyb2ga.jpeg,843.0,41.4,20.34,books/covers/4d3408b7-36b1-4c04-995d-2718de235964/1771870821246-qyb2ga.jpeg
2422b9e5-31a8-4fbb-9e7d-341749d4bc0e,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/2422b9e5-31a8-4fbb-9e7d-341749d4bc0e/1771872986705-x906nn.png,1438.9,32.9,43.80,books/covers/2422b9e5-31a8-4fbb-9e7d-341749d4bc0e/1771872986705-x906nn.png
eb0d8deb-cd8c-4fc1-86d9-cc5922f25b75,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/eb0d8deb-cd8c-4fc1-86d9-cc5922f25b75/1771873156762-mh7686.jpg,2145.6,8.7,245.92,books/covers/eb0d8deb-cd8c-4fc1-86d9-cc5922f25b75/1771873156762-mh7686.jpg
9036ba78-8ca8-47a0-81b6-efeba35174bc,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/9036ba78-8ca8-47a0-81b6-efeba35174bc/1771878666058-mdxh9e.jpeg,1098.8,140.3,7.83,books/covers/9036ba78-8ca8-47a0-81b6-efeba35174bc/1771878666058-mdxh9e.jpeg
d4af0add-8534-410a-bc4a-793efd92a028,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/d4af0add-8534-410a-bc4a-793efd92a028/1773247503038-ynquvi.jpg,1080.6,59.9,18.04,books/covers/d4af0add-8534-410a-bc4a-793efd92a028/1773247503038-ynquvi.jpg
317c10a9-04c3-40f2-9fe3-3b1ff052c429,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/317c10a9-04c3-40f2-9fe3-3b1ff052c429/1773247144097-1bijke.jpg,1652.5,126.7,13.04,books/covers/317c10a9-04c3-40f2-9fe3-3b1ff052c429/1773247144097-1bijke.jpg
82514a1a-4e18-4362-81fb-3c3ae9814e7d,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/82514a1a-4e18-4362-81fb-3c3ae9814e7d/1773247547688-n5gd4e.jpg,1205.9,217.0,5.56,books/covers/82514a1a-4e18-4362-81fb-3c3ae9814e7d/1773247547688-n5gd4e.jpg
6d9eb4e6-fac3-41df-9d85-084d9f7f8ca1,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/6d9eb4e6-fac3-41df-9d85-084d9f7f8ca1/1773247303935-vgean.jpg,1367.6,126.8,10.78,books/covers/6d9eb4e6-fac3-41df-9d85-084d9f7f8ca1/1773247303935-vgean.jpg
9f123eae-f721-44a1-bdc2-c702c16377e3,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/9f123eae-f721-44a1-bdc2-c702c16377e3/1774512800048-w6kb95.webp,66.1,5.7,11.61,books/covers/9f123eae-f721-44a1-bdc2-c702c16377e3/1774512800048-w6kb95.webp
55e836c0-4764-4043-815f-bd94cfb8e66e,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/55e836c0-4764-4043-815f-bd94cfb8e66e/1774956731043-iiskug.JPG,4175.6,57.4,72.73,books/covers/55e836c0-4764-4043-815f-bd94cfb8e66e/1774956731043-iiskug.JPG
8a0b6f40-7e91-48cc-bfe7-8ff42dc8d2af,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/8a0b6f40-7e91-48cc-bfe7-8ff42dc8d2af/1774354980885-611y0id.jpg,336.2,7.9,42.66,books/covers/8a0b6f40-7e91-48cc-bfe7-8ff42dc8d2af/1774354980885-611y0id.jpg
cadd4597-c59e-4fa8-a373-a08e6b782513,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/cadd4597-c59e-4fa8-a373-a08e6b782513/1775083236924-0071x.webp,480.2,31.5,15.25,books/covers/cadd4597-c59e-4fa8-a373-a08e6b782513/1775083236924-0071x.webp
c63f2baa-b193-4396-a3e2-48436de41244,https://dbmbrwmygpnhjyyccbjp.supabase.co/storage/v1/object/public/images/books/covers/c63f2baa-b193-4396-a3e2-48436de41244/1775005794081-swodua.webp,486.9,22.6,21.54,books/covers/c63f2baa-b193-4396-a3e2-48436de41244/1775005794081-swodua.webp